Data Set 1:Time(s),Data Set 1:Absorbance,FT:Time(s),FT:Absorbance,FT_redo:Time(s),FT_redo:Absorbance,E2:Time(s),E2:Absorbance,E1:Time(s),E1:Absorbance,Data Set 6:Time(s),Data Set 6:Absorbance,Data Set 7:Time(s),Data Set 7:Absorbance
0,0.21372200757703125,0,-0.010976609180874924,0,-0.011215459620960877,0,-0.011415759215081339,0,-0.011158332419580697,0,-0.010853592512494153,0,-0.010471356351794053
2,0.25241922255155014,2,0.21304715345915085,2,0.19194698978894548,2,-0.01088092200552021,2,0.22649538656333607,2,-0.011030753628694184,2,-0.010561400996254133
4,0.25226058164080578,4,0.2132392422301253,4,0.24696705299727023,4,-0.011249301594813826,4,0.21882505380774955,4,0.24669054853080746,4,0.28357721185923029
6,0.25591641937593645,6,0.22717665376904955,6,0.24787403629499663,6,-0.011139791841326463,6,0.21409843101779263,6,0.23821271245184736,6,0.24509925863816062
8,0.25565950339193699,8,0.23471400080945568,8,0.26458001812522702,8,-0.010707196999198282,8,0.22581221949313737,8,0.2417452076640311,8,0.25029399446920553
10,0.25847885198974963,10,0.25215889576627293,10,0.28834353865721662,10,0.21814257701926681,10,0.22849875487521554,10,0.24076146752184846,10,0.21623700059961476
12,0.25947797869747152,12,0.26913698551401993,12,0.31458456587101175,12,0.21463219345225296,12,0.22971420368708578,12,0.24108195004897548,12,0.33154506344083823
14,0.25459309844645145,14,0.28109875661131073,14,0.33487534413085557,14,0.21371895797399226,14,0.23190606234611424,14,0.24127964586074993,14,0.24125758950646486
16,0.25875288604475272,16,0.29489958937734206,16,0.34919737010341406,16,0.19894609584706446,16,0.23491290021310718,16,0.24385736306278954,16,0.28047994523069053
18,0.26176270695888082,18,0.29813093889362396,18,0.37214473160606171,18,0.19639264297177997,18,0.22857829542713035,18,0.24270817358441396,18,0.23063076492030049
20,0.26232304068910089,20,0.30826556329222904,20,0.38039735016637738,20,0.19991672409856415,20,0.22103726598112372,20,0.23953582870817974,20,0.22809102343553295
22,0.2545300376883346,22,0.31064109367932591,22,0.39401868805835782,22,0.19388721850874188,22,0.21504497198401806,22,0.23914262650484619,22,0.23125449183360558
24,0.25109923266442025,24,0.31569777995807374,24,0.40972495841104473,24,0.19331246449403533,24,0.21462891641986892,24,0.23985731236695751,24,0.22489741142457609
26,0.25282323466748868,26,0.32005593327512116,26,0.41914690400977966,26,0.19306029874044203,26,0.21603432686397628,26,0.24002731961707974,26,0.21269387571648601
28,0.24935017412857463,28,0.32260003341276317,28,0.43266026071590841,28,0.19495047487286915,28,0.21892229933042684,28,0.24183909349410479,28,0.22321656175896037
30,0.25584460180239865,30,0.32767898267770623,30,0.44287037785844041,30,0.1938878444757175,30,0.22356199912150934,30,0.24078918312270473,30,0.20235072540809435
32,0.25348707090384709,32,0.33321258899235895,32,0.44535136037001793,32,0.19149928628058938,32,0.22621428725133358,32,0.23931155552478767,32,0.2182890509352613
34,0.25601435490510427,34,0.33714192258874093,34,0.45083992099583614,34,0.18975560556374985,34,0.22984962117198932,34,0.23894100112920358,34,0.23383049867150346
36,0.25913111346093409,36,0.33892547019292729,36,0.45627193720590231,36,0.1882488693139473,36,0.22836491389632757,36,0.23760567915460157,36,0.23285738362743141
38,0.25534114963044818,38,0.33854738015400193,38,0.46499910911985537,38,0.18666807955170855,38,0.22781405830682014,38,0.23902847838625652,38,0.22503654398883999
40,0.25447056386197381,40,0.34239593216799585,40,0.46698835532678573,40,0.185132321560675,40,0.22547956069872732,40,0.23736405577816938,40,0.21231293240779456
42,0.2512990889565857,42,0.34572751383096151,42,0.47111182719238898,42,0.18364926128545378,42,0.2237434605044209,42,0.23601542018216273,42,0.2043760181669218
44,0.25042250630045326,44,0.34814198802191582,44,0.47302027473592256,44,0.180959677185906,44,0.21919706634818728,44,0.23715736608379528,44,0.19720564656780504
46,0.25478301764608524,46,0.35064663393543327,46,0.47301844736218457,46,0.17747881272058394,46,0.21811005592020039,46,0.23780136410129749,46,0.19481421690336886
48,0.25384174014282657,48,0.35277410748274807,48,0.47697900689624317,48,0.17597921045876946,48,0.21956767332803395,48,0.23867237014999182,48,0.19348269291150744
50,0.26121261267863571,50,0.35043754103971975,50,0.47822324150187878,50,0.17452445795098523,50,0.21651407678866935,50,0.23739190263654394,50,0.19180651302940283
52,0.24692851920431028,52,0.35241742092759509,52,0.47716022200110608,52,0.17282482276732317,52,0.21633313903285606,52,0.23648556660600428,52,0.18463442652462086
54,0.25405019890637964,54,0.35789850370524939,54,0.47701391648939084,54,0.17019403092481991,54,0.21761545255567444,54,0.23619584753722361,54,0.18024003847124431
56,0.25342486837945188,56,0.35435882014715625,56,0.478180974125332,56,0.1690783179923665,56,0.21308009604035358,56,0.23634644056186305,56,0.17928760432707774
58,0.25210620238089665,58,0.35606964506504818,58,0.47893800033149542,58,0.16850142039945798,58,0.21531284325946837,58,0.23588675821685812,58,0.18210251614694681
60,0.25977717511924242,60,0.35747969670989016,60,0.47961202297164296,60,0.16702996071978601,60,0.21435919221452512,60,0.23667195924751239,60,0.18371799396495819
62,0.25045363752560945,62,0.35956009150798629,62,0.47553865726073308,62,0.16605619390607418,62,0.2148750170839924,62,0.2371840470321202,62,0.18262153480994986
64,0.25416503996392592,64,0.36379868392101467,64,0.47702236018691696,64,0.16489695985757916,64,0.21514167573317633,64,0.23693574567168191,64,0.18130370598191192
66,0.25486866898667027,66,0.36895326619281527,66,0.48042810245648959,66,0.16367649008505503,66,0.21330036538614255,66,0.23630289879692001,66,0.1794459168103964
68,0.25234406580376434,68,0.37033532600874963,68,0.47923109337241349,68,0.16246219131591988,68,0.20812872176179031,68,0.23592373196825772,68,0.17635919592115235
70,0.2563943014888167,70,0.37059160540039898,70,0.47782414567766307,70,0.15922786902667352,70,0.20391180842330617,70,0.23532759365179828,70,0.17673559246186032
72,0.24856505641910107,72,0.36974632099028387,72,0.47945076711435147,72,0.15847477536644361,72,0.20137671817371483,72,0.23540014081905936,72,0.174814769820549
74,0.2478600141008459,74,0.37295645992923254,74,0.47802359042977194,74,0.15794846631500159,74,0.20466660371381251,74,0.23508882249827207,74,0.17245244630930928
76,0.25232783762927646,76,0.37742698440711708,76,0.47820286711550525,76,0.15688229375569315,76,0.20490544542510328,76,0.23450484918276399,76,0.16991938785372629
78,0.25116315771463849,78,0.37688830545831015,78,0.47753715301853977,78,0.15521745665630343,78,0.20513583624054857,78,0.23567981212535011,78,0.17055098948279884
80,0.2564558621898716,80,0.37778658798527198,80,0.48005666688593573,80,0.15340302942382153,80,0.20299664971006393,80,0.23656937065957906,80,0.17042992171308019
,,82,0.38186892280738782,82,0.47737459231710794,82,0.15273397686026469,82,0.20386997218189551,82,0.2366836257184261,82,0.17073116213532055
,,,,84,0.47989555802281325,,,,,,,84,0.17019831530266294
,,,,,,,,,,,,86,0.16970206264094775
,,,,,,,,,,,,88,0.16901672839686613
,,,,,,,,,,,,90,0.16794460584810872
